Joey|Monica face it, Chandler is against marriage. And-and always will be!|o|o|o|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt0.wav
Monica|Well theres some people who do want to marry me.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt1.wav
Joey|There are?|oth|oth|oth|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt2.wav
Monica|Yeah! Richard!|b|b|b|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt3.wav
Joey|R-R-Richard said he wants to marry you?! And-and Chandlers tellin ya how much he hates marriage?!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt4.wav
Monica|Thats right.|ag|ag|ag|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt5.wav
Joey|Chandler|oth|oth|oth|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt6.wav
Monica|You just told me that he hates marriage!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt7.wav
Monica|That-that hes a-a complex fellow whos unlikely to take a wife!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt8.wav
Monica|That-that hes against marriage and always will be!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt9.wav
Joey|You got|oth|oth|oth|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia163_utt10.wav
