Ross|Hi.|g|g|g|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt0.wav
Chandler|Hey. Soaps? Shampoos? Are you really taking all this stuff?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt1.wav
Ross|Why not? Its built into the price of the room.|ans|ans|ans|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt2.wav
Chandler|Yeah but you dont needWhat is this?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt3.wav
Ross|Thread!|ans|ans|ans|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt4.wav
Chandler|Score! Where are the disposable cameras?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt5.wav
Ross|What disposable cameras?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt6.wav
Chandler|The cameras? Remember last night I told you to take them?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt7.wav
Ross|No you didnt.|dag|dag|dag|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt8.wav
Chandler|Yes! Remember? Right before we cut the cake, I went up to you and I said|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt9.wav
Ross|Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check.|ag|ag|ag|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt10.wav
Ross|And then you said, "Why do they call it a check?|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt11.wav
Ross|Why not a Yugoslavian?"|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt12.wav
Ross|Yeah, then you did that.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt13.wav
Chandler|So you dont have the cameras?!|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt14.wav
Ross|No. Sorry man.|ans|ans|ans|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt15.wav
Chandler|So? What? What? Theyre gone! Monicas gonna freak!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt16.wav
Ross|Well, Im sure theyre still somewhere here in the hotel. Ill-Ill help you look for them.|o|o|o|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt17.wav
Chandler|Great.|ap|ap|ap|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt18.wav
Ross|In-in three minutes.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia337_utt19.wav
