Ross|Hey.|g|g|g|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt0.wav
Rachel|Hi. Look um, about what happened earlier...|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt1.wav
Ross|No, hey, well, I-I completely understand. You were, you were stressed.|o|o|o|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt2.wav
Rachel|I was gonna give you a chance to apologise to me.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt3.wav
Ross|For what? For letting you throw me out of your office?|dag|dag|dag|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt4.wav
Rachel|You had no|oth|oth|oth|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt5.wav
Ross|Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt6.wav
Rachel|But I told you, I didnt have the time!|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt7.wav
Ross|Yeah, well you never have the time. I mean, I dont feel like I even have a girlfriend anymore, Rachel.|s|s|s|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt8.wav
Rachel|Wh, Ross what do you want from me?|q|q|q|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt9.wav
Rachel|You want me, you want me to quit my job so you can feel like you have a girlfriend?|o|o|o|/home/messal944084/Desktop/Dialogue-Act-Classification-main/EMOTyDA/train_splits_audio/dia51_utt10.wav
